[0.006s][info][gc] Using Parallel
[3.451s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.451s][info ][safepoint      ] Leaving safepoint region
[3.451s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001400 seconds, Stopping threads took: 0.0000975 seconds
[3.451s][info ][safepoint      ] Application time: 0.0005555 seconds
[3.452s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.452s][info ][safepoint      ] Leaving safepoint region
[3.452s][info ][safepoint      ] Total time for which application threads were stopped: 0.0002581 seconds, Stopping threads took: 0.0000890 seconds
[3.452s][info ][safepoint      ] Application time: 0.0001834 seconds
[3.452s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.452s][info ][safepoint      ] Leaving safepoint region
[3.452s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001457 seconds, Stopping threads took: 0.0000793 seconds
[3.453s][info ][safepoint      ] Application time: 0.0004544 seconds
[3.453s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.453s][info ][safepoint      ] Leaving safepoint region
[3.453s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000945 seconds, Stopping threads took: 0.0000433 seconds
[3.453s][info ][safepoint      ] Application time: 0.0001417 seconds
[3.453s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.453s][info ][safepoint      ] Leaving safepoint region
[3.453s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001221 seconds, Stopping threads took: 0.0000624 seconds
[3.453s][info ][safepoint      ] Application time: 0.0001650 seconds
[3.453s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.453s][info ][safepoint      ] Leaving safepoint region
[3.453s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001048 seconds, Stopping threads took: 0.0000518 seconds
[3.453s][info ][safepoint      ] Application time: 0.0001576 seconds
[3.453s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.453s][info ][safepoint      ] Leaving safepoint region
[3.453s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000713 seconds, Stopping threads took: 0.0000226 seconds
